name_common,player_ID,G_tot,WAA_tot,WAA_off_tot,WAA_def_tot,WAR_tot,G_best,WAA_best,WAA_off_best,WAA_def_best,WAR_best,WAA_p162,WAA_off_p162,WAA_def_p162,WAR_p162,WAA_med,WAA_off_med,WAA_def_med,WAR_med,WAA_t7,WAA_off_t7,WAA_def_t7,WAR_t7
Adrian Beltre,beltrad01,2933,54.82,30.67,29.29,95.72,161,7.55,5.36,3.13,9.55,3.0279031708148656,1.6940129560177295,1.6177906580293215,5.286955335833618,3.24,1.22,1.4,5.57,4.878571428571428,3.2871428571428574,1.8842857142857143,7.042857142857143
Albert Belle,belleal01,1539,17.15,23.25,-12.26,40.06,163,4.8,5.08,-0.06,7.07,1.8052631578947367,2.4473684210526314,-1.2905263157894737,4.216842105263158,0.97,2.36,-1.07,3.44,2.987142857142857,3.6228571428571428,-1.1385714285714286,5.147142857142857
Albert Pujols,pujolal01,2692,63.2,49.07,-2.0500000000000003,99.95,161,7.62,6.55,2.25,9.73,3.803268945022288,2.9529494799405644,-0.12336552748885588,6.014821693907875,5.02,3.985,-0.125,7.0600000000000005,6.807142857142857,5.338571428571429,0.6142857142857143,8.817142857142857
Alex Rodriguez,rodrial01,2784,76.09,73.64,10.59,117.78,162,8.14,7.14,2.35,10.36,4.427650862068965,4.285086206896551,0.616228448275862,6.853577586206896,5.24,4.42,0.43,7.59,6.808571428571429,6.268571428571429,1.3171428571428572,9.18
Andruw Jones,jonesan01,2196,35.98,13.02,24.45,62.81,162,6.05,3.74,3.92,8.17,2.654262295081967,0.9604918032786885,1.803688524590164,4.633524590163935,3.61,1.61,2.32,5.61,4.61,2.2357142857142858,2.7385714285714284,6.648571428571429
Barry Bonds,bondsba01,2986,123.86,104.71,7.58,162.8,159,9.9,10.42,3.6,11.85,6.71979906229069,5.680850636302746,0.4112391158740791,8.832417950435365,6.09,4.99,0.28,8.129999999999999,8.47,7.864285714285714,-0.015714285714285695,10.391428571428571
Barry Larkin,larkiba01,2180,42.48,40.23,14.42,70.44,161,5.28,5.68,2.3,7.19,3.1567706422018347,2.9895688073394493,1.0715779816513762,5.2345321100917435,3.835,3.66,0.8400000000000001,5.695,4.285714285714286,4.002857142857143,1.1614285714285715,6.182857142857143
Buster Posey,poseybu01,1144,26.46,21.48,9.54,41.25,150,5.7,5.46,2.02,7.56,3.7469580419580417,3.0417482517482517,1.3509440559440558,5.841346153846153,3.425,2.6900000000000004,1.075,5.355,3.48,2.9442857142857144,1.0671428571428572,5.301428571428572
Cal Ripken Jr.,ripkeca01,3001,53.46,35.72,35.68,95.87,163,9.2,6.89,3.61,11.53,2.885878040653116,1.928237254248584,1.926077974008664,5.175254915028325,2.57,2.05,2.12,4.65,5.79,4.195714285714286,2.807142857142857,8.04
Carlos Beltran,beltrca01,2586,34.05,30.990000000000002,1.5599999999999998,69.79,162,6.36,5.11,2.25,8.2,2.133062645011601,1.941368909512761,0.09772621809744778,4.37199535962877,2.33,2.43,0.19,4.54,4.214285714285714,3.2357142857142858,1.3442857142857143,6.344285714285714
