name_common,player_ID,G_tot,WAA_tot,WAA_off_tot,WAA_def_tot,WAR_tot,G_best,WAA_best,WAA_off_best,WAA_def_best,WAR_best,WAA_p162,WAA_off_p162,WAA_def_p162,WAR_p162,WAA_med,WAA_off_med,WAA_def_med,WAR_med,WAA_t7,WAA_off_t7,WAA_def_t7,WAR_t7
A.J. Ellis,ellisaj01,672,1.4400000000000002,1.89,3.51,8.69,133,1.84,1.53,1.16,3.39,0.3471428571428572,0.455625,0.8461607142857143,2.094910714285714,1.84,1.53,1.16,3.39,0.49142857142857144,0.5585714285714286,0.3528571428571428,1.2742857142857142
A.J. Pierzynski,pierza.01,2059,-3.3499999999999996,1.0399999999999998,8.66,23.919999999999998,140,2.62,2.03,1.51,4.5,-0.26357455075279257,0.08182612918892665,0.6813598834385625,1.8820009713453132,-0.185,0.09,0.635,1.67,0.8142857142857143,0.7971428571428572,0.8571428571428571,2.591428571428571
A.J. Pollock,polloaj01,637,12.06,6.66,6.68,19.990000000000002,157,5.15,3.67,1.88,7.24,3.0670643642072215,1.693751962323391,1.69883830455259,5.0837990580847725,3.37,2,1.69,5.19,1.7228571428571429,0.9514285714285714,0.9542857142857143,2.855714285714286
Aaron Boone,booneaa01,1152,-0.28,-0.2599999999999999,1.4500000000000002,13.5,162,2.0100000000000002,1.75,1.31,4.11,-0.03937500000000001,-0.03656249999999999,0.20390625000000004,1.8984375,0.87,-0.05000000000000002,0.875,2.71,0.6428571428571429,0.34285714285714286,0.5514285714285715,2.177142857142857
Aaron Hicks,hicksaa01,595,2.9,1.07,2.35,10.6,137,2.71,2.88,1.54,4.7,0.7895798319327731,0.291327731092437,0.6398319327731092,2.886050420168067,0.57,0.44999999999999996,0.09999999999999999,2.19,0.4833333333333333,0.17833333333333334,0.39166666666666666,1.7666666666666666
Aaron Hill,hillaa01,1559,2.79,0.9800000000000003,5.87,23.72,160,3.43,3.12,2.68,5.8,0.28991661321359846,0.10183450930083389,0.6099679281590763,2.4648107761385503,0.835,0.04000000000000001,0.495,2.615,1.5714285714285714,0.9728571428571429,0.9528571428571428,3.4157142857142855
Aaron Judge,judgeaa01,294,8.96,6.62,1.19,13.18,155,5.82,4.93,1.06,8.09,4.937142857142858,3.6477551020408163,0.6557142857142857,7.262448979591836,5.82,4.93,0.32,8.09,2.986666666666667,2.2066666666666666,0.39666666666666667,4.3933333333333335
Aaron Miles,milesaa01,932,-8.26,-7.26,1.15,0.9700000000000001,136,0.98,0.32,1.48,2.18,-1.4357510729613734,-1.261931330472103,0.19989270386266095,0.1686051502145923,-1.03,-0.73,0.38,0.48,-0.5771428571428572,-0.6271428571428571,0.31285714285714283,0.5157142857142857
Aaron Rowand,rowanaa01,1358,5.47,2.25,5.1,20.94,161,3.78,2.94,1.94,5.65,0.6525331369661266,0.26840942562592046,0.6083946980854197,2.4979970544918997,0.745,-0.30500000000000005,0.82,2.475,1.2314285714285713,0.6842857142857143,0.7328571428571429,2.6814285714285715
Aaron Ward,wardaa01,1059,-2,-5.79,7.09,13.5,154,1.93,0.37,2.08,4.37,-0.3059490084985836,-0.8857223796033994,1.0845892351274786,2.0651558073654392,-0.21,-0.82,1.28,1.8,0.21,-0.43857142857142856,1.0442857142857143,2.0942857142857143
Abraham Nunez,nunezab01,1030,-7.6899999999999995,-9.62,4.2700000000000005,0.7600000000000001,139,0.87,-0.03,1.23,2.29,-1.2094951456310679,-1.5130485436893204,0.6715922330097088,0.11953398058252429,-1.63,-1.61,0.13,-0.78,-0.1542857142857143,-0.5285714285714286,0.6171428571428571,0.6214285714285714
Adam Comorosky,comorad01,813,-5.01,-6.55,-1.4000000000000001,4.8,152,0.7,0.64,0.31,2.76,-0.9983025830258303,-1.3051660516605166,-0.27896678966789673,0.9564575645756458,0.21,-0.09,-0.43,1.83,-0.022857142857142857,-0.2114285714285714,-0.06857142857142857,0.9042857142857142
Adam Dunn,dunnad01,2001,-8.85,8.92,-28.86,17.43,161,2.61,3.07,-0.25,4.68,-0.7164917541229385,0.7221589205397302,-2.3364917541229384,1.4111244377811094,-0.985,1.045,-2.165,1.0899999999999999,0.7,1.3071428571428572,-1.3514285714285714,2.5228571428571427
Adam Duvall,duvalad01,500,0.14,-4.16,2.3,5.930000000000001,157,1.27,-0.02,1.28,3.18,0.045360000000000004,-1.3478400000000001,0.7452,1.9213200000000001,-0.24,-1.04,1,1.79,0.028000000000000004,-0.832,0.46,1.1860000000000002
Adam Eaton,eatonad02,639,8.34,7.78,0.6199999999999999,17.41,157,3.74,3.19,1.79,6.06,2.1143661971830983,1.972394366197183,0.15718309859154925,4.413802816901408,3.45,2.14,1.69,5.27,1.1914285714285715,1.1114285714285714,0.08857142857142855,2.487142857142857
Adam Engel,engelad01,240,-3,-3.09,0.71,-0.26,143,-0.99,-1.19,0.57,0.59,-2.025,-2.08575,0.47925,-0.17550000000000002,-0.99,-1.19,0.57,0.59,-1.5,-1.545,0.355,-0.13
