name_common,player_ID,G_tot,GS_tot,IPouts_tot,WAA_tot,WAR_tot,G_best,GS_best,IPouts_best,WAA_best,WAR_best,WAA_p162,WAR_p162,WAA_med,WAR_med,WAA_t7,WAR_t7
Billy Wagner,wagnebi02,853,0,2709,16.496,27.75,78,0,258,2.2242,3.75,3.6535991140642303,6.146179401993356,1.50555,2.4450000000000003,1.7465285714285714,2.8128571428571427
Clayton Kershaw,kershcl01,318,316,6289,45.381,62.05,33,33,708,6.1215,8,4.329559548417873,5.9198600731435835,4.6251,6.13,5.135485714285714,6.82
Craig Kimbrel,kimbrcr01,542,0,1598,12.1196,20.2,79,0,231,2.3115,3.61,4.5505381727158944,7.584480600750938,1.4095,2.4749999999999996,1.5799571428571428,2.6614285714285715
Greg Maddux,maddugr01,744,740,15025,65.2734,104.93,37,37,804,8.1256,9.72,2.6065916805324454,4.190216306156406,2.9087,4.725,6.108114285714286,7.921428571428572
Kenley Jansen,janseke01,543,0,1646,9.4551,15.719999999999999,75,0,230,1.8655,2.96,3.446573511543135,5.730255164034022,0.9601999999999999,1.6749999999999998,1.2684857142857142,2.045714285714286
Mariano Rivera,riverma01,1115,10,3851,32.4606,56.25,74,10,323,3.4831,4.97,5.057481173721111,8.76395741365879,2.0859,3.515,2.522185714285714,4.097142857142857
Pedro Martinez,martipe02,476,409,8482,61.5152,86.17999999999999,65,33,724,9.6686,11.72,4.351464277293092,6.096203725536429,4.584,6.49,6.529028571428571,8.462857142857143
Randy Johnson,johnsra05,618,603,12406,67.4419,103.58,35,35,815,8.701,10.74,3.261739480896341,5.0095115266806385,3.8364,5.76,7.007285714285715,9.014285714285714
Roger Clemens,clemero02,709,707,14750,94.2307,139.02,36,36,845,9.4452,11.94,3.833113220338983,5.655050847457628,4.392,6.01,7.0442,9.361428571428572
Trevor Hoffman,hoffmtr01,1035,0,3268,13.8512,28.12,70,0,270,2.277,4.11,2.543059975520196,5.162790697674419,0.7869,1.46,1.553742857142857,2.797142857142857
