position,p_order,cost,player,player_ID
SP,0,5,Greg Maddux,maddugr01
SP,0,4,Randy Johnson,johnsra05
SP,0,3,Roger Clemens,clemero02
SP,0,2,Pedro Martinez,martipe02
SP,0,1,Clayton Kershaw,kershcl01
RP,1,5,Mariano Rivera,riverma01
RP,1,4,Trevor Hoffman,hoffmtr01
RP,1,3,Billy Wagner,wagnebi02
RP,1,2,Kenley Jansen,janseke01
RP,1,1,Craig Kimbrel,kimbrcr01
C,2,5,Ivan Rodriguez,rodriiv01
C,2,4,Mike Piazza,piazzmi01
C,2,3,Buster Posey,poseybu01
C,2,2,Joe Mauer,mauerjo01
C,2,1,Jorge Posada,posadjo01
1B,3,5,Albert Pujols,pujolal01
1B,3,4,Miguel Cabrera,cabremi01
1B,3,3,Jeff Bagwell,bagweje01
1B,3,2,Jim Thome,thomeji01
1B,3,1,Mark McGwire,mcgwima01
2B,4,5,Roberto Alomar,alomaro01
2B,4,4,Craig Biggio,biggicr01
2B,4,3,Chase Utley,utleych01
2B,4,2,Robinson Cano,canoro01
2B,4,1,Jeff Kent,kentje01
3B,5,5,Chipper Jones,jonesch06
3B,5,4,Adrian Beltre,beltrad01
3B,5,3,Wade Boggs,boggswa01
3B,5,2,Nolan Arenado,arenano01
3B,5,1,Scott Rolen,rolensc01
SS,6,5,Alex Rodriguez,rodrial01
SS,6,4,Cal Ripken Jr.,ripkeca01
SS,6,3,Derek Jeter,jeterde01
SS,6,2,Barry Larkin,larkiba01
SS,6,1,Ozzie Smith,smithoz01
LF,7,5,Barry Bonds,bondsba01
LF,7,4,Rickey Henderson,henderi01
LF,7,3,Manny Ramirez,ramirma02
LF,7,2,Lance Berkman,berkmla01
LF,7,1,Albert Belle,belleal01
CF,8,5,Mike Trout,troutmi01
CF,8,4,Ken Griffey Jr.,griffke02
CF,8,3,Carlos Beltran,beltrca01
CF,8,2,Andruw Jones,jonesan01
CF,8,1,Jim Edmonds,edmonji01
RF,9,5,Ichiro Suzuki,suzukic01
RF,9,4,Vladimir Guerrero,guerrvl01
RF,9,3,Mookie Betts,bettsmo01
RF,9,2,Larry Walker,walkela01
RF,9,1,Gary Sheffield,sheffga01
DH,10,5,David Ortiz,ortizda01
DH,10,4,Frank Thomas,thomafr04
DH,10,3,Edgar Martinez,martied01
DH,10,2,Paul Molitor,molitpa01
DH,10,1,Harold Baines,baineha01
